1,1,30000.00,0.0412,3001,GJCegF,b11ATPtrTADBoMsmOf,iHiRrLQdsVeWNQH3BM,NEWoMvbnCg68kKh,VO,722511111
2,1,30000.00,0.1313,3001,CMXpDmfG0o,LKzNXyaDquTgtxl,WR5xZflSOrXN8MU8iCT,vFgkcNvHz1o,MB,239811111
3,1,30000.00,0.0592,3001,b7zdWN,ccXyG3xIgDub,dzsYEifermgkPd,FrB5MigUagxa5EZZJg2,RX,396611111
4,1,30000.00,0.1169,3001,pWP0JQbpv7,bfVeyAgSlSMs,x1XygYnIXOkD,sWx6H4zERlEaIJyFtgTA,PQ,513811111
5,1,30000.00,0.1427,3001,IiNlkF,SfpO6FZXU4r,w3xRsx77P9LByS5QAWX,QQrEAEG6sTYeIbMNE9,LY,176311111
6,1,30000.00,0.0886,3001,ZaHU62,YNYm9hGYIoybcdn9,RKWcmVPs8f1e6,PTBMgdcjcwS,ER,911411111
7,1,30000.00,0.0239,3001,zO7uPU5a,i25ctFtCpV,LGFhBGxLWzbVHp,bDOHjdqhTHI,TV,665211111
8,1,30000.00,0.1630,3001,Cx4FOvM,wMpVY53y8x,c8daZ3o6iXbPK1guk,zyUG6qTyS8a,UF,794511111
9,1,30000.00,0.1108,3001,htHQPZ,DcB1qeGeAAcq,nh2NMGycwoqZ88qV,yth0NGakWM8,TV,254611111
10,1,30000.00,0.1617,3001,ZUAy2V3D,p4Kdd1p2I6lGCe1pp,pKihltnLnPCtwN,GrPCFvcJKiRph5urdf66,AF,683911111
