1,1,1,1582,2,11,1,2022-09-13 20:48:26.285
2,1,1,883,5,14,1,2022-09-13 20:48:26.289
3,1,1,364,9,8,1,2022-09-13 20:48:26.29
4,1,1,4,4,6,1,2022-09-13 20:48:26.29
5,1,1,5,5,13,1,2022-09-13 20:48:26.291
6,1,1,40,7,5,1,2022-09-13 20:48:26.292
7,1,1,1228,9,6,1,2022-09-13 20:48:26.292
8,1,1,1375,8,13,1,2022-09-13 20:48:26.292
9,1,1,9,2,8,1,2022-09-13 20:48:26.292
10,1,1,745,8,9,1,2022-09-13 20:48:26.292
11,1,1,1528,3,10,1,2022-09-13 20:48:26.292
12,1,1,612,9,8,1,2022-09-13 20:48:26.292
13,1,1,549,10,8,1,2022-09-13 20:48:26.292
14,1,1,758,9,6,1,2022-09-13 20:48:26.293
15,1,1,2560,6,10,1,2022-09-13 20:48:26.293
16,1,1,1833,1,11,1,2022-09-13 20:48:26.293
17,1,1,1316,9,10,1,2022-09-13 20:48:26.293
18,1,1,2741,6,12,1,2022-09-13 20:48:26.293
19,1,1,19,9,5,1,2022-09-13 20:48:26.293
20,1,1,1949,8,11,1,2022-09-13 20:48:26.293
21,1,1,2775,9,9,1,2022-09-13 20:48:26.293
22,1,1,2688,5,5,1,2022-09-13 20:48:26.293
23,1,1,1216,8,12,1,2022-09-13 20:48:26.293
24,1,1,2248,1,12,1,2022-09-13 20:48:26.293
25,1,1,846,1,5,1,2022-09-13 20:48:26.293
26,1,1,2631,8,14,1,2022-09-13 20:48:26.293
27,1,1,1719,3,10,1,2022-09-13 20:48:26.293
28,1,1,2469,2,9,1,2022-09-13 20:48:26.294
29,1,1,1766,10,11,1,2022-09-13 20:48:26.294
30,1,1,1411,3,7,1,2022-09-13 20:48:26.294
31,1,1,1399,8,8,1,2022-09-13 20:48:26.294
32,1,1,926,1,9,1,2022-09-13 20:48:26.294
33,1,1,33,1,8,1,2022-09-13 20:48:26.294
34,1,1,2831,10,12,1,2022-09-13 20:48:26.294
35,1,1,911,4,9,1,2022-09-13 20:48:26.294
36,1,1,36,6,13,1,2022-09-13 20:48:26.294
37,1,1,1703,4,14,1,2022-09-13 20:48:26.294
38,1,1,1184,7,10,1,2022-09-13 20:48:26.294
39,1,1,1560,9,14,1,2022-09-13 20:48:26.294
40,1,1,2974,1,9,1,2022-09-13 20:48:26.294
41,1,1,2053,1,6,1,2022-09-13 20:48:26.295
42,1,1,2295,2,13,1,2022-09-13 20:48:26.295
43,1,1,609,1,11,1,2022-09-13 20:48:26.295
44,1,1,2670,1,9,1,2022-09-13 20:48:26.295
45,1,1,45,4,10,1,2022-09-13 20:48:26.295
46,1,1,1352,4,11,1,2022-09-13 20:48:26.295
47,1,1,2894,5,10,1,2022-09-13 20:48:26.295
48,1,1,48,8,12,1,2022-09-13 20:48:26.295
49,1,1,2893,4,10,1,2022-09-13 20:48:26.295
50,1,1,50,9,15,1,2022-09-13 20:48:26.295
51,1,1,2398,7,9,1,2022-09-13 20:48:26.295
52,1,1,448,4,5,1,2022-09-13 20:48:26.295
53,1,1,1129,1,11,1,2022-09-13 20:48:26.295
54,1,1,2677,8,10,1,2022-09-13 20:48:26.297
55,1,1,1031,9,8,1,2022-09-13 20:48:26.3
56,1,1,2238,7,14,1,2022-09-13 20:48:26.3
57,1,1,1047,2,14,1,2022-09-13 20:48:26.3
58,1,1,383,10,5,1,2022-09-13 20:48:26.301
59,1,1,1819,7,9,1,2022-09-13 20:48:26.301
