1,1,1,1,1,1,2022-09-13 20:48:25.839,10.00,noD2i7cqjm3hG
2,2,1,1,1,1,2022-09-13 20:48:25.84,10.00,bLGXybMjo79dUtGX02e5SrY
3,3,1,1,1,1,2022-09-13 20:48:25.84,10.00,gppkXpapInRDa
4,4,1,1,1,1,2022-09-13 20:48:25.841,10.00,NwLbl0Stn1gvt
5,5,1,1,1,1,2022-09-13 20:48:25.841,10.00,pqNcF6ICfMO5YJygk4M
6,6,1,1,1,1,2022-09-13 20:48:25.841,10.00,ZhF6PQG85a0Cnxt
7,7,1,1,1,1,2022-09-13 20:48:25.841,10.00,sRGJbxFPgjcwho
8,8,1,1,1,1,2022-09-13 20:48:25.841,10.00,BoUBRC8Ha5IX47mC
9,9,1,1,1,1,2022-09-13 20:48:25.841,10.00,NqLLgJKHeSkL
10,10,1,1,1,1,2022-09-13 20:48:25.841,10.00,cHtZhXAiUH2ye8cZmoF
11,11,1,1,1,1,2022-09-13 20:48:25.841,10.00,SQ9FqmsYbV03
12,12,1,1,1,1,2022-09-13 20:48:25.842,10.00,JLpS359zQk9AuDuXerjry
13,13,1,1,1,1,2022-09-13 20:48:25.842,10.00,ZMGP2i5lA5iF
14,14,1,1,1,1,2022-09-13 20:48:25.842,10.00,gvq8ApiA4k1KF2qoed0d
15,15,1,1,1,1,2022-09-13 20:48:25.842,10.00,UOq2tSSVJIxXvdZw
16,16,1,1,1,1,2022-09-13 20:48:25.844,10.00,w5QQHJSbpe6AaIaT0Y4j3uM
17,17,1,1,1,1,2022-09-13 20:48:25.844,10.00,oG0DZZJu9669UWh0wz
18,18,1,1,1,1,2022-09-13 20:48:25.845,10.00,AIruMl8Ph3JeBzEBxgQs
19,19,1,1,1,1,2022-09-13 20:48:25.845,10.00,vgASkdqXF3yy
20,20,1,1,1,1,2022-09-13 20:48:25.845,10.00,N1NyAy3MJe1a
21,21,1,1,1,1,2022-09-13 20:48:25.845,10.00,tgemS4xf2ucIO7
22,22,1,1,1,1,2022-09-13 20:48:25.845,10.00,lTlidIjNVeU8mzsphla46p
23,23,1,1,1,1,2022-09-13 20:48:25.846,10.00,ve2yJEXgxiJPuE8Mo
24,24,1,1,1,1,2022-09-13 20:48:25.846,10.00,GbEoTEvAuA9gWzeBGz
